image_name	wing_shape	back_pattern	upper_tail_color	bill_shape	upperparts_color	underparts_color	under_tail_color	tail_shape	throat_color	wing_pattern	nape_color	belly_color	tail_pattern	belly_pattern	primary_color	leg_color	bill_length	bill_color	size	crown_color	wing_color	back_color	breast_color	breast_pattern	eye_color	forehead_color	y_pred	y_true
Bewick_Wren_0084_184715.jpg	0	1	3	1	3	3	3	2	2	1	3	3	2	1	3	2	1	3	2	3	3	3	3	1	3	3	8	8
Fox_Sparrow_0091_115550.jpg	1	1	3	2	3	3	0	5	4	1	3	3	1	3	3	2	3	0	3	3	3	3	3	3	3	3	3	3
Common_Tern_0037_148048.jpg	5	1	4	2	4	4	4	5	4	1	3	4	1	1	4	1	1	1	1	3	4	4	4	1	0	3	4	4
Palm_Warbler_0081_169256.jpg	1	1	3	5	3	3	3	4	3	4	3	3	4	1	3	3	3	3	2	3	3	3	3	1	3	3	6	6
Cactus_Wren_0009_185871.jpg	1	0	0	1	3	3	3	2	3	4	3	3	4	4	3	3	1	3	2	3	3	0	3	4	3	3	8	8
Downy_Woodpecker_0090_183964.jpg	0	4	4	5	3	4	0	6	4	2	4	4	3	1	3	0	3	3	2	3	3	4	4	1	3	3	7	7
Blue_Headed_Vireo_0011_156276.jpg	0	0	0	5	3	2	3	6	2	0	3	2	0	1	3	3	3	3	2	3	0	0	2	1	3	3	5	5
Least_Tern_0006_153921.jpg	4	4	3	2	3	4	0	1	4	1	3	4	4	1	3	3	1	3	3	4	3	3	3	1	3	4	4	4
Rock_Wren_0114_189283.jpg	0	2	3	2	3	4	3	2	3	2	3	4	2	1	3	3	1	3	2	3	3	3	4	1	3	3	8	8
Ivory_Gull_0014_48983.jpg	2	1	4	1	3	4	4	5	4	3	4	4	2	1	3	3	1	3	1	4	4	4	4	1	3	3	1	1
Black_Capped_Vireo_0021_797480.jpg	1	1	4	5	4	4	3	6	4	3	1	4	3	3	1	2	3	1	2	1	3	3	4	3	3	1	5	5
Slaty_Backed_Gull_0017_796034.jpg	2	4	4	1	3	4	4	4	4	4	4	4	1	1	3	2	1	1	3	4	3	3	4	2	3	4	1	1
Artic_Tern_0092_141849.jpg	3	3	0	2	3	4	0	3	3	1	3	4	3	1	3	2	3	2	2	2	3	3	4	1	3	3	3	4
Slaty_Backed_Gull_0085_53158.jpg	0	4	3	3	3	4	3	5	4	4	4	4	4	1	3	2	1	1	2	2	3	3	4	1	3	4	1	1
Western_Gull_0036_54329.jpg	2	4	0	1	3	4	0	6	4	4	4	4	1	1	3	2	1	1	3	4	3	3	4	1	3	4	1	1
Caspian_Tern_0062_145981.jpg	0	4	3	2	3	4	3	0	4	0	4	4	0	1	4	2	1	2	2	3	3	3	4	1	3	3	4	4
Forsters_Tern_0002_151622.jpg	4	0	0	2	4	4	4	1	4	0	3	4	0	1	3	2	1	2	3	3	3	0	4	1	3	3	4	4
Cactus_Wren_0036_185563.jpg	0	0	1	2	1	1	0	3	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	0	1	1	8	8
Rock_Wren_0111_189443.jpg	0	3	3	2	3	2	3	6	0	3	3	2	3	1	3	2	1	3	2	3	3	3	2	1	3	3	8	8
Red_Eyed_Vireo_0131_156765.jpg	2	0	0	2	0	4	3	6	3	4	3	4	4	1	4	3	3	3	2	3	3	0	4	1	3	3	0	5
Artic_Tern_0047_143549.jpg	2	1	3	2	3	3	3	5	3	1	3	3	1	1	3	3	1	3	2	3	3	3	3	1	3	3	4	4
Ivory_Gull_0055_49353.jpg	4	1	4	5	3	4	4	5	4	1	4	4	1	1	4	3	3	3	3	4	3	4	4	1	3	4	1	1
Pileated_Woodpecker_0038_180300.jpg	0	1	3	5	3	4	3	4	4	1	3	0	1	0	3	3	1	3	3	1	3	3	3	4	3	1	7	7
Pine_Warbler_0005_171548.jpg	2	1	3	5	3	1	4	1	1	4	3	1	0	1	1	2	3	3	2	1	3	3	1	1	3	1	6	6
Rock_Wren_0094_189037.jpg	2	1	0	5	3	4	0	0	4	1	3	4	0	1	3	3	1	3	2	3	3	3	4	1	3	3	8	8
Cactus_Wren_0115_185895.jpg	0	0	0	5	3	3	3	5	3	3	3	3	4	4	3	2	3	2	2	4	2	0	3	4	3	3	8	8
Pileated_Woodpecker_0013_180746.jpg	0	1	3	2	0	3	3	0	3	1	3	3	1	1	3	3	1	3	3	1	3	3	3	1	3	1	7	7
Fox_Sparrow_0106_114720.jpg	1	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3
Herring_Gull_0139_47006.jpg	5	1	4	1	3	4	0	2	4	1	4	4	4	1	3	2	1	2	1	4	3	3	4	1	0	4	1	1
Cactus_Wren_0008_186083.jpg	0	0	0	2	0	3	3	3	3	0	3	3	3	2	3	2	1	3	2	3	0	0	3	2	3	3	8	8
Song_Sparrow_0044_121931.jpg	4	3	3	2	3	3	2	5	4	3	3	4	3	1	3	2	3	2	2	3	3	3	3	3	3	3	3	3
Carolina_Wren_0117_186916.jpg	0	1	0	5	3	2	3	5	4	3	3	2	3	1	3	2	3	3	2	3	3	3	2	1	3	3	8	8
Cactus_Wren_0075_186066.jpg	1	0	0	2	3	3	3	3	3	4	3	3	2	4	3	2	1	3	2	3	3	0	3	1	3	3	8	8
Le_Conte_Sparrow_0045_795162.jpg	1	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	3	3	3	3	3	3	3	3	3
Ringed_Kingfisher_0003_72994.jpg	0	0	0	2	0	2	3	6	3	1	0	2	3	4	3	3	2	1	2	3	3	0	2	4	3	3	2	2
Blue_Headed_Vireo_0122_156017.jpg	0	0	0	2	0	2	3	2	2	2	3	2	2	1	3	3	3	3	2	3	3	3	2	1	3	2	5	5
Blue_Headed_Vireo_0113_156332.jpg	2	1	2	5	2	0	0	6	4	3	0	0	1	0	3	3	3	3	2	3	2	2	4	1	3	3	5	5
Warbling_Vireo_0006_158467.jpg	4	1	2	5	2	4	2	5	4	1	4	4	1	1	4	3	3	2	2	3	2	2	4	1	3	3	5	5
Nelson_Sharp_Tailed_Sparrow_0032_118036.jpg	1	3	0	2	1	1	3	3	2	3	1	1	3	1	1	1	3	1	2	1	1	1	3	3	3	3	3	3
Prothonotary_Warbler_0124_173686.jpg	1	4	3	5	3	1	3	5	3	4	3	1	4	4	3	3	1	3	2	3	3	3	1	1	3	3	6	6
Belted_Kingfisher_0107_70883.jpg	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	3	2	0	0	0	0	0	0	0	2	2
American_Three_Toed_Woodpecker_0039_796168.jpg	0	2	3	2	3	4	0	2	4	1	3	4	1	0	3	4	1	3	2	3	3	3	3	2	3	3	7	7
Heermann_Gull_0138_45269.jpg	2	4	3	1	3	3	3	5	3	4	3	3	4	1	3	3	1	3	3	3	3	3	3	4	3	3	1	1
Worm_Eating_Warbler_0057_176006.jpg	2	1	3	5	3	3	3	5	2	1	3	3	1	1	3	2	3	2	2	3	3	3	3	1	3	3	6	6
