,im_name,circle_hn,h_bar_hn,triangle_hn,v_bar_hn,y,y_hat,img_name
0,,0,1,0,0,0,0,img_2373.png
1,,0,0,0,0,0,0,img_6115.png
2,,0,0,0,0,0,0,img_9540.png
3,,0,0,0,1,0,1,img_8886.png
4,,0,0,1,1,0,1,img_4070.png
5,,1,0,0,0,0,0,img_9554.png
6,,0,0,0,0,0,0,img_8892.png
7,,0,0,0,1,0,1,img_6101.png
8,,0,0,0,0,0,0,img_9232.png
9,,0,0,1,1,0,1,img_856.png
10,,0,0,0,1,0,1,img_2367.png
11,,0,0,0,1,0,1,img_1646.png
12,,0,1,0,1,0,1,img_8104.png
13,,0,0,0,1,0,1,img_7237.png
14,,0,0,0,1,0,1,img_3051.png
15,,0,0,0,1,0,1,img_5420.png
16,,0,1,1,0,0,0,img_4058.png
17,,0,0,1,0,0,0,img_6897.png
18,,0,0,0,0,0,0,img_1120.png
19,,1,0,0,1,0,1,img_6883.png
20,,0,0,0,1,0,1,img_8676.png
21,,0,0,0,1,0,1,img_7545.png
22,,1,0,0,1,0,1,img_1134.png
23,,0,0,0,0,0,0,img_5352.png
24,,1,1,0,1,0,1,img_3723.png
25,,0,0,0,1,0,1,img_3045.png
26,,0,0,0,1,0,1,img_8110.png
27,,0,1,1,1,0,1,img_7223.png
28,,0,0,0,0,0,0,img_881.png
29,,1,0,1,1,0,1,img_4919.png
30,,0,1,0,0,0,0,img_659.png
31,,0,0,0,1,0,1,img_8845.png
32,,0,0,1,0,0,0,img_6868.png
33,,0,0,0,1,0,1,img_9597.png
34,,0,1,0,1,0,1,img_3904.png
35,,0,0,0,0,0,0,img_895.png
36,,0,0,0,1,0,1,img_1875.png
37,,0,0,1,1,0,1,img_4925.png
38,,0,0,0,1,0,1,img_665.png
39,,0,0,0,1,0,1,img_7592.png
40,,0,0,0,1,0,1,img_117.png
41,,0,0,0,0,0,0,img_5391.png
42,,0,1,1,1,0,1,img_3938.png
43,,0,0,0,1,0,1,img_6840.png
44,,0,0,0,0,0,0,img_1691.png
45,,0,1,1,0,0,0,img_3086.png
46,,0,1,0,0,0,0,img_9742.png
47,,1,0,0,0,0,0,img_9024.png
48,,0,1,1,1,0,1,img_6317.png
49,,0,0,0,1,0,1,img_4500.png
50,,0,0,0,0,0,0,img_498.png
51,,0,0,0,0,0,0,img_10.png
52,,0,0,0,0,0,0,img_9030.png
53,,0,0,0,1,0,1,img_9756.png
54,,1,1,0,0,0,0,img_8448.png
55,,0,0,0,1,0,1,img_4272.png
56,,0,0,0,1,0,1,img_1322.png
57,,1,1,1,1,0,1,img_8460.png
58,,1,0,0,0,0,0,img_3535.png
59,,0,1,0,1,0,1,img_38.png
60,,0,0,1,1,0,1,img_3253.png
61,,1,0,1,1,0,1,img_7035.png
62,,0,0,0,0,0,0,img_7021.png
63,,0,0,0,0,0,0,img_8312.png
64,,0,0,0,1,0,1,img_1450.png
65,,1,0,0,1,0,1,img_5636.png
66,,1,0,1,1,0,1,img_4528.png
67,,0,0,0,0,0,0,img_3521.png
68,,0,1,1,1,0,1,img_1336.png
69,,0,0,0,1,0,1,img_7747.png
70,,0,1,1,0,0,0,img_7974.png
71,,0,1,1,0,0,0,img_9781.png
72,,0,0,0,1,0,1,img_5811.png
73,,1,0,1,1,0,1,img_2818.png
74,,0,0,0,0,0,0,img_301.png
75,,0,0,0,1,0,1,img_2830.png
76,,0,0,1,1,0,1,img_4299.png
77,,0,0,0,1,0,1,img_7790.png
78,,0,0,0,1,0,1,img_9965.png
79,,0,0,1,1,0,1,img_3284.png
80,,1,0,0,1,0,1,img_473.png
81,,1,0,0,0,0,0,img_9971.png
82,,0,0,0,1,0,1,img_315.png
83,,0,0,0,1,0,1,img_2824.png
84,,0,1,0,1,0,1,img_4312.png
85,,0,1,1,1,0,1,img_8528.png
86,,0,1,1,0,0,0,img_6505.png
87,,0,0,0,1,0,1,img_9150.png
88,,0,0,0,0,0,0,img_6263.png
89,,0,0,0,0,0,0,img_2005.png
90,,0,0,0,1,0,1,img_6511.png
91,,1,0,0,0,0,0,img_7627.png
92,,1,0,0,0,0,0,img_6539.png
93,,1,0,0,0,0,0,img_1256.png
94,,0,0,0,0,0,0,img_5030.png
95,,0,0,0,1,0,1,img_3441.png
96,,0,1,1,0,0,0,img_4448.png
97,,0,0,0,1,0,1,img_2039.png
98,,0,0,0,0,0,0,img_8272.png
99,,0,0,0,1,0,1,img_8266.png
100,,0,0,0,1,0,1,img_5742.png
101,,1,0,0,1,0,1,img_5024.png
102,,0,0,0,0,0,0,img_1242.png
103,,0,0,0,1,0,1,img_7800.png
104,,0,0,1,0,0,0,img_5971.png
105,,0,1,1,1,0,1,img_9193.png
106,,0,0,0,0,0,0,img_8299.png
107,,0,0,0,0,0,0,img_9187.png
108,,1,0,0,1,0,1,img_5965.png
109,,0,1,0,1,0,1,img_7814.png
110,,0,0,0,1,0,1,img_2944.png
111,,0,1,1,0,0,0,img_275.png
112,,0,0,0,1,0,1,img_1295.png
113,,1,0,0,1,0,1,img_9811.png
114,,0,0,0,0,0,0,img_7182.png
115,,1,0,0,0,0,0,img_5795.png
116,,0,0,0,1,0,1,img_5959.png
117,,0,0,0,0,0,0,img_507.png
118,,0,0,0,0,0,0,img_7196.png
119,,1,0,0,0,0,0,img_6288.png
120,,1,0,0,0,0,0,img_1281.png
121,,0,1,0,0,0,0,img_2950.png
122,,0,1,1,1,0,1,img_2788.png
123,,1,0,0,0,0,0,img_2207.png
124,,0,0,0,1,0,1,img_936.png
125,,1,0,0,1,0,1,img_4676.png
126,,0,0,0,0,0,0,img_6061.png
127,,0,0,0,0,0,0,img_9352.png
